upstreamdiscount_L
[ 8 13 16  6 12 18  3 20  1  2  9  5  7 10 17 11 14 15  4 19]
[15 11  8  4 14  1 12  2  9  7 13 20  6  3 16 10  5 17 19 18]
[ 4 18  5 16  3 11  2  8 10 14 20  6 17  1  9 15 12 13 19  7]
[ 1 20 11 16  6 17 13 14  9 10 18  7 12  4 15  5 19  8  2  3]
[10  7 17 12  2 11 16  4 18  1 15 13 19  5 14 20  6  3  9  8]
[10  2  4  6 12 20 17  8 16  3 14  7 19 15  1 11  5 13  9 18]
[13  2 15 11  5  9  3  7  4  6 12  8 20 16 19 18  1 14 17 10]
[ 3 20 19 13  1 17 16  4 15  2  9  5 11  7 12 14 18 10  6  8]
[ 7  3 19 17 20 18  1 12 13 16  4  9 15 11 14  6  2  8  5 10]
[18 14 11  1  8  6  3 20  4 17  2  7 16  9 12 19 13  5 15 10]
[20  6 16  9 19  1  4 11  5 18 14 17 12  2  3 15  7 13 10  8]
[15 11 20  4  5  2  8  6 14 10 18  7 17 16  9  1 13  3 12 19]
[ 9 14 20  4 11 15  8 17 10 12  2  1  5  3 19 18  7 16  6 13]
[14 19 12 18 16 13  4  3 15  1  5 10  7  8  9  2 11 17  6 20]
[ 7 10  8 15  9 16 12 13  2 17 19 20  5 11 14  3  6  4  1 18]
[ 8 11 17 18 19 14  9 20  3 16  7  4 12  1 13  2 10  6 15  5]
[11 18 19  4  5 15  7  1 20  9 17 16 13  6 14  2 10  8  3 12]
[16  7 10  2 11 12  4  5 20  1 14  3 18 19  9 15 17  6  8 13]
[ 3  6 14  5 13  7 11 19  4  2 15 10 18 17 12 20  1  8  9 16]
[15 18 13  3  8  5  1 10  2  9 19  6 11  7 14 20  4 17 16 12]
[ 8  1  2 10 16  7 18 19 13 11  3 12  9 17  4  5 14  6 20 15]
[ 5  9  1 18 14 13  7 10  2 17  4 20 12  8 16 11 15  3  6 19]
[ 6  1  7 11 16 19 12  5  8 13 15  4 20  9  2 17 18 10 14  3]
[ 2 12  3 13 18 14  4 10 19  7 16  1 15 17  5 11  9  8  6 20]
[ 9  3 14  2 12  8 15 17 20  7 13  4 16  6  1 19 10 11  5 18]
[16 10  6  4  9 12 19 17  3  2 18 13  1 14  7  5 15 20  8 11]
[ 4  7 11  8 14 13  2 15  3 20 10 16 17 19  9 12  1 18  5  6]
[ 5  1 13 14  4 12  9 11  2 10  8  7 17 15  6  3 20 16 18 19]
[ 9  8  1 14 18 20 16  4 13 15 12 11 10 17  3  2 19  6  7  5]
[ 8 16 17 18  9 19 10 20  7  4 15  1  3  2 13  5 12  6 14 11]
