benchmark,init_prod_time_L,init_prod_time_H,prod_discount_L,prod_discount_H,weight_L,weight_H,due_time_L,due_time_H,maint_len_L,maint_len_H
[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 2. 0. 0.],[2. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 1.],[0. 5. 0. 0. 0.],[4. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[1. 0. 0. 0. 0.],[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[2. 2. 0. 0. 0.],[0. 3. 0. 0. 0.],[0. 0. 0. 0. 0.],[1. 0. 0. 0. 0.],[4. 0. 0. 0. 0.],[0. 0. 0. 0. 0.]
[4. 4. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[ 3.  3.  0. 19.  0.],[3. 0. 0. 0. 0.],[0. 0. 0. 0. 1.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 1. 1. 1.],[0. 2. 0. 0. 0.],[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.],[ 0.  0.  0.  0. 19.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[ 0.  0.  2. 19.  0.],[0. 0. 0. 0. 0.],[3. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[19.  0.  0.  0.  0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[2. 0. 0. 0. 0.],[ 0.  0.  0. 14.  0.],[0. 3. 0. 0. 0.],[0. 0. 4. 0. 0.],[8. 8. 0. 0. 0.],[0. 0. 0. 0. 0.],[1. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.],[19.  0.  0.  0.  0.],[1. 0. 0. 0. 0.],[4. 0. 0. 0. 0.],[19.  0.  0.  0.  0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.],[19.  0. 19. 19.  0.],[0. 0. 0. 0. 0.],[4. 0. 0. 0. 0.],[0. 1. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[ 0.  0. 19. 19.  0.],[0. 0. 0. 0. 0.],[3. 3. 0. 2. 0.]
[3. 0. 0. 0. 0.],[19.  0.  0.  0.  0.],[1. 1. 0. 0. 0.],[ 0.  0. 19.  0.  0.],[0. 0. 0. 0. 0.],[ 0.  0. 14.  0.  0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[1. 0. 0. 0. 0.],[ 0.  3. 19. 19.  0.]
[0. 0. 0. 0. 0.],[ 5. 19.  0.  0.  0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[18.  0.  0.  0.  7.],[6. 0. 0. 0. 0.],[ 0. 19.  0.  0.  0.],[1. 1. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.]
[4. 0. 0. 0. 0.],[19.  0.  0.  0.  0.],[1. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 3. 0. 0.],[3. 0. 0. 0. 0.],[ 0. 18.  0.  0.  0.]
